"Name","Election Results","GIS Data"
"Malheur County, Oregon","http://malheurco.org/countyclerk-electionresults","http://www.malheurco.org/GIS"
"Baker County, Oregon","http://www.bakercounty.org/elections/",
"Wallowa County, Oregon","http://www.co.wallowa.or.us/administration/clerk/election_results.html",
"Union County, Oregon","http://union-county.org/county-clerk/elections/",
"Umatilla County, Oregon","http://www.co.umatilla.or.us/elections/results.html",
"Morrow County, Oregon","http://morrowcountyoregon.com/county-clerk/",
"Grant County, Oregon","http://www.gcoregonlive2.com/svc_display.php?id=526",
"Harney County, Oregon","http://www.co.harney.or.us/past_election_results.html",
"Lake County, Oregon","http://www.lakecountyor.org/election_results.php",
"Klamath County, Oregon","http://klamathcounty.org/depts/clerk/electionResults.asp",
"Deschutes County, Oregon","http://www.deschutes.org/Clerks-Office/Elections/Past-Elections/Results.aspx",
"Crook County, Oregon","http://co.crook.or.us/Departments/Clerk/ElectionInformation/HistoricElectionResults/tabid/2278/Default.aspx",
"Jefferson County, Oregon","http://www.co.jefferson.or.us/ElectedOfficials/CountyClerk/Elections/tabid/1421/Default.aspx",
"Wheeler County, Oregon","http://www.wheelercountyoregon.com/#!county-clerk/cfqt",
"Gilliam County, Oregon","http://www.co.gilliam.or.us/departments/clerk/election_results.html",
"Sherman County, Oregon","http://www.sherman-county.com/archive_of_election_results.asp",
"Wasco County, Oregon","http://co.wasco.or.us/county/dept_clerk_elections.cfm",
"Hood River County, Oregon","http://www.co.hood-river.or.us/index.asp?Type=B_BASIC&SEC={B3760B28-AC32-4807-B236-6309313184F8}",
"Multnomah County, Oregon","http://www.co.washington.or.us/AssessmentTaxation/Elections/ElectionsArchive/index.cfm",
"Clackamas County, Oregon","http://www.clackamas.us/elections/results.html",
"Marion County, Oregon","http://www.co.marion.or.us/CO/elections/Results/",
"Linn County, Oregon","http://www.co.linn.or.us/elections/index.php?content=electionarchive",
"Lane County, Oregon","http://www.lanecounty.org/Departments/CAO/Operations/CountyClerk/elections/Pages/resultsindex.aspx",
"Douglas County, Oregon","https://www.co.douglas.or.us/clerk/election_results.asp",
"Jackson County, Oregon","http://www.co.jackson.or.us/Page.asp?NavID=2696",
"Josephine County, Oregon","http://www.co.josephine.or.us/Page.asp?NavID=754",
"Curry County, Oregon","http://www.co.curry.or.us/Departments/Elections/Past-Election-Results",
"Coos County, Oregon","http://www.co.coos.or.us/Departments/CountyClerk/Elections/ElectionArchives.aspx",
"Benton County, Oregon","http://www.co.benton.or.us/elections/archives.php",
"Lincoln County, Oregon","http://www.co.lincoln.or.us/clerk/election_results/",
"Polk County, Oregon","http://apps2.co.polk.or.us//elections/SearchCriteria.asp?TypeId=2",
"Yamhill County, Oregon","http://www.co.yamhill.or.us/content/prior-year-elections",
"Tillamook County, Oregon","http://www.co.tillamook.or.us/gov/clerk/general%20elections/ElectionResults.htm",
"Washington County, Oregon","http://www.co.washington.or.us/AssessmentTaxation/Elections/ElectionsArchive/index.cfm",
"Columbia County, Oregon","http://www.co.columbia.or.us/files/elections/archive/",
"Clatsop County, Oregon","http://www.co.clatsop.or.us/page/87?deptid=2","http://www.co.clatsop.or.us/page/933?deptid=6"
